"Gene.stable.ID"	"Gene.name"	"ZFIN.ID"	"Gene.name.uniq"	"Gene.description"	"Source.of.gene.name"
"171"	"ENSDARG00000096599"	"AL928650.3"	"=HYPERLINK(\"https://zfin.org/\")"	"AL928650.3"	""	"Clone-based (Ensembl) gene"
"174"	"ENSDARG00000079332"	"AL928650.1"	"=HYPERLINK(\"https://zfin.org/\")"	"AL928650.1"	"endonuclease domain-containing 1 protein-like [Source:NCBI gene;Acc:101883376]"	"Clone-based (Ensembl) gene"
"175"	"ENSDARG00000007443"	"fbxl18"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050913-65\")"	"fbxl18"	"F-box and leucine-rich repeat protein 18 [Source:ZFIN;Acc:ZDB-GENE-050913-65]"	"ZFIN"
"176"	"ENSDARG00000037746"	"actb1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-000329-1\")"	"actb1"	"actin, beta 1 [Source:ZFIN;Acc:ZDB-GENE-000329-1]"	"ZFIN"
"177"	"ENSDARG00000037747"	"fscn1b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-120507-1\")"	"fscn1b"	"fascin actin-bundling protein 1b [Source:ZFIN;Acc:ZDB-GENE-120507-1]"	"ZFIN"
"179"	"ENSDARG00000012458"	"zgc:77849"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-1107\")"	"zgc:77849"	"zgc:77849 [Source:ZFIN;Acc:ZDB-GENE-030131-1107]"	"ZFIN"
"180"	"ENSDARG00000070543"	"grin2ab"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070424-223\")"	"grin2ab"	"glutamate receptor, ionotropic, N-methyl D-aspartate 2A, b [Source:ZFIN;Acc:ZDB-GENE-070424-223]"	"ZFIN"
"183"	"ENSDARG00000093438"	"CU467110.1"	"=HYPERLINK(\"https://zfin.org/\")"	"CU467110.1"	""	"Clone-based (Ensembl) gene"
"184"	"ENSDARG00000094206"	"si:ch73-191k20.3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090312-62\")"	"si:ch73-191k20.3"	"si:ch73-191k20.3 [Source:ZFIN;Acc:ZDB-GENE-090312-62]"	"ZFIN"
"186"	"ENSDARG00000008723"	"prkcba"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1354\")"	"prkcba"	"protein kinase C, beta a [Source:ZFIN;Acc:ZDB-GENE-040426-1354]"	"ZFIN"
"189"	"ENSDARG00000088975"	"si:ch211-14k19.8"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-051214-4\")"	"si:ch211-14k19.8"	"si:ch211-14k19.8 [Source:ZFIN;Acc:ZDB-GENE-051214-4]"	"ZFIN"
"191"	"ENSDARG00000093053"	"vap"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-42\")"	"vap*1"	"vascular associated protein [Source:ZFIN;Acc:ZDB-GENE-090313-42]"	"ZFIN"
"192"	"ENSDARG00000058463"	"ndufab1a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040801-1\")"	"ndufab1a"	"NADH:ubiquinone oxidoreductase subunit AB1a [Source:ZFIN;Acc:ZDB-GENE-040801-1]"	"ZFIN"
"193"	"ENSDARG00000076716"	"palb2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-43\")"	"palb2"	"partner and localizer of BRCA2 [Source:ZFIN;Acc:ZDB-GENE-090313-43]"	"ZFIN"
"194"	"ENSDARG00000058464"	"rasd3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060818-9\")"	"rasd3"	"RASD family member 3 [Source:ZFIN;Acc:ZDB-GENE-060818-9]"	"ZFIN"
"195"	"ENSDARG00000058471"	"plk1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-021115-7\")"	"plk1"	"polo-like kinase 1 (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-021115-7]"	"ZFIN"
"197"	"ENSDARG00000058475"	"ern2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090312-15\")"	"ern2"	"endoplasmic reticulum to nucleus signaling 2 [Source:ZFIN;Acc:ZDB-GENE-090312-15]"	"ZFIN"
"198"	"ENSDARG00000080404"	"U6"	"=HYPERLINK(\"https://zfin.org/\")"	"U6*1"	"U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]"	"RFAM"
"199"	"ENSDARG00000058480"	"chtf18"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050522-508\")"	"chtf18"	"CTF18, chromosome transmission fidelity factor 18 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-050522-508]"	"ZFIN"
"200"	"ENSDARG00000024740"	"gng13a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-081022-188\")"	"gng13a"	"guanine nucleotide binding protein (G protein), gamma 13a [Source:ZFIN;Acc:ZDB-GENE-081022-188]"	"ZFIN"
"202"	"ENSDARG00000058445"	"zgc:136472"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060421-2552\")"	"zgc:136472"	"zgc:136472 [Source:ZFIN;Acc:ZDB-GENE-060421-2552]"	"ZFIN"
"203"	"ENSDARG00000063169"	"ubn1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070928-28\")"	"ubn1"	"ubinuclein 1 [Source:ZFIN;Acc:ZDB-GENE-070928-28]"	"ZFIN"
"205"	"ENSDARG00000037760"	"uncx4.1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050714-1\")"	"uncx4.1"	"Unc4.1 homeobox (C. elegans) [Source:ZFIN;Acc:ZDB-GENE-050714-1]"	"ZFIN"
"207"	"ENSDARG00000017834"	"micall2b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-5803\")"	"micall2b"	"mical-like 2b [Source:ZFIN;Acc:ZDB-GENE-030131-5803]"	"ZFIN"
"208"	"ENSDARG00000074282"	"si:ch73-12o23.1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-130530-749\")"	"si:ch73-12o23.1"	"si:ch73-12o23.1 [Source:ZFIN;Acc:ZDB-GENE-130530-749]"	"ZFIN"
"209"	"ENSDARG00000074372"	"elfn1b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-080327-21\")"	"elfn1b"	"extracellular leucine-rich repeat and fibronectin type III domain containing 1b [Source:ZFIN;Acc:ZDB-GENE-080327-21]"	"ZFIN"
"211"	"ENSDARG00000101495"	"ugt5b2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-100406-4\")"	"ugt5b2"	"UDP glucuronosyltransferase 5 family, polypeptide B2 [Source:ZFIN;Acc:ZDB-GENE-100406-4]"	"ZFIN"
"212"	"ENSDARG00000091916"	"ugt5b4"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070112-2332\")"	"ugt5b4"	"UDP glucuronosyltransferase 5 family, polypeptide B4 [Source:ZFIN;Acc:ZDB-GENE-070112-2332]"	"ZFIN"
"213"	"ENSDARG00000099276"	"ugt5b3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-100406-5\")"	"ugt5b3"	"UDP glucuronosyltransferase 5 family, polypeptide B3 [Source:ZFIN;Acc:ZDB-GENE-100406-5]"	"ZFIN"
"214"	"ENSDARG00000104995"	"ugt5b1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-100406-4\")"	"ugt5b1"	"UDP glucuronosyltransferase 5 family, polypeptide B1 [Source:ZFIN;Acc:ZDB-GENE-100406-3]"	"ZFIN"
"215"	"ENSDARG00000033852"	"mad1l1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1081\")"	"mad1l1"	"mitotic arrest deficient 1 like 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1081]"	"ZFIN"
"216"	"ENSDARG00000037654"	"pmm2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030722-6\")"	"pmm2"	"phosphomannomutase 2 [Source:ZFIN;Acc:ZDB-GENE-030722-6]"	"ZFIN"
"217"	"ENSDARG00000037652"	"zgc:56409"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1019\")"	"zgc:56409"	"zgc:56409 [Source:ZFIN;Acc:ZDB-GENE-040426-1019]"	"ZFIN"
"218"	"ENSDARG00000037646"	"rgs11"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-080220-46\")"	"rgs11"	"regulator of G protein signaling 11 [Source:ZFIN;Acc:ZDB-GENE-080220-46]"	"ZFIN"
"219"	"ENSDARG00000032795"	"tmem8a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090312-158\")"	"tmem8a"	"transmembrane protein 8A [Source:ZFIN;Acc:ZDB-GENE-090312-158]"	"ZFIN"
"220"	"ENSDARG00000018263"	"pdia2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-705\")"	"pdia2"	"protein disulfide isomerase family A, member 2 [Source:ZFIN;Acc:ZDB-GENE-040426-705]"	"ZFIN"
"225"	"ENSDARG00000076174"	"trim2b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090312-70\")"	"trim2b"	"tripartite motif containing 2b [Source:ZFIN;Acc:ZDB-GENE-090312-70]"	"ZFIN"
"226"	"ENSDARG00000037647"	"rnf175"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1104\")"	"rnf175"	"ring finger protein 175 [Source:ZFIN;Acc:ZDB-GENE-040426-1104]"	"ZFIN"
"229"	"ENSDARG00000104660"	"si:ch73-132f6.5"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-9581\")"	"si:ch73-132f6.5"	"si:ch73-132f6.5 [Source:ZFIN;Acc:ZDB-GENE-030131-9581]"	"ZFIN"
"230"	"ENSDARG00000096594"	"lratb.1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060810-31\")"	"lratb.1"	"lecithin retinol acyltransferase b, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-060810-31]"	"ZFIN"
"231"	"ENSDARG00000077652"	"lratb.2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-081022-106\")"	"lratb.2"	"lecithin retinol acyltransferase b, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-081022-106]"	"ZFIN"
"235"	"ENSDARG00000077533"	"eif3f"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-100215-2\")"	"eif3f"	"eukaryotic translation initiation factor 3, subunit F [Source:ZFIN;Acc:ZDB-GENE-100215-2]"	"ZFIN"
"236"	"ENSDARG00000030563"	"zgc:77880"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1901\")"	"zgc:77880"	"zgc:77880 [Source:ZFIN;Acc:ZDB-GENE-040426-1901]"	"ZFIN"
"237"	"ENSDARG00000026387"	"pip4p1b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-121214-195\")"	"pip4p1b"	"phosphatidylinositol-4,5-bisphosphate 4-phosphatase 1b [Source:ZFIN;Acc:ZDB-GENE-121214-195]"	"ZFIN"
"240"	"ENSDARG00000034785"	"dachb"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-020402-4\")"	"dachb"	"dachshund b [Source:ZFIN;Acc:ZDB-GENE-020402-4]"	"ZFIN"
"241"	"ENSDARG00000070512"	"cnpy3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050411-12\")"	"cnpy3"	"canopy FGF signaling regulator 3 [Source:ZFIN;Acc:ZDB-GENE-050411-12]"	"ZFIN"
"243"	"ENSDARG00000062057"	"zgc:174945"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-080204-80\")"	"zgc:174945"	"zgc:174945 [Source:ZFIN;Acc:ZDB-GENE-080204-80]"	"ZFIN"
"244"	"ENSDARG00000067992"	"si:dkey-31e10.1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060503-356\")"	"si:dkey-31e10.1"	"si:dkey-31e10.1 [Source:ZFIN;Acc:ZDB-GENE-060503-356]"	"ZFIN"
"246"	"ENSDARG00000070502"	"si:dkey-31e10.5"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-121214-76\")"	"si:dkey-31e10.5"	"si:dkey-31e10.5 [Source:ZFIN;Acc:ZDB-GENE-121214-76]"	"ZFIN"
"247"	"ENSDARG00000096564"	"CU915827.1"	"=HYPERLINK(\"https://zfin.org/\")"	"CU915827.1"	""	"Clone-based (Ensembl) gene"
"248"	"ENSDARG00000037679"	"zgc:103678"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040912-107\")"	"zgc:103678"	"zgc:103678 [Source:ZFIN;Acc:ZDB-GENE-040912-107]"	"ZFIN"
"249"	"ENSDARG00000076833"	"atp1b1b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-001127-4\")"	"atp1b1b"	"ATPase Na+/K+ transporting subunit beta 1b [Source:ZFIN;Acc:ZDB-GENE-001127-4]"	"ZFIN"
"251"	"ENSDARG00000087107"	"si:ch73-222h13.1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-144\")"	"si:ch73-222h13.1"	"si:ch73-222h13.1 [Source:ZFIN;Acc:ZDB-GENE-090313-144]"	"ZFIN"
"253"	"ENSDARG00000008487"	"dmd"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-010426-1\")"	"dmd"	"dystrophin [Source:ZFIN;Acc:ZDB-GENE-010426-1]"	"ZFIN"
"256"	"ENSDARG00000070239"	"knl1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-5437\")"	"knl1"	"kinetochore scaffold 1 [Source:ZFIN;Acc:ZDB-GENE-030131-5437]"	"ZFIN"
"257"	"ENSDARG00000074379"	"knstrn"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-081022-187\")"	"knstrn"	"kinetochore localized astrin (SPAG5) binding protein [Source:ZFIN;Acc:ZDB-GENE-081022-187]"	"ZFIN"
"258"	"ENSDARG00000062854"	"sdk1b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090311-17\")"	"sdk1b"	"sidekick cell adhesion molecule 1b [Source:ZFIN;Acc:ZDB-GENE-090311-17]"	"ZFIN"
"267"	"ENSDARG00000062585"	"brat1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060421-6989\")"	"brat1"	"BRCA1-associated ATM activator 1 [Source:ZFIN;Acc:ZDB-GENE-060421-6989]"	"ZFIN"
"269"	"ENSDARG00000062606"	"si:dkey-26i13.8"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090312-134\")"	"si:dkey-26i13.8"	"si:dkey-26i13.8 [Source:ZFIN;Acc:ZDB-GENE-090312-134]"	"ZFIN"
"270"	"ENSDARG00000077198"	"chst12b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090312-144\")"	"chst12b*1"	"carbohydrate (chondroitin 4) sulfotransferase 12b [Source:ZFIN;Acc:ZDB-GENE-090312-144]"	"ZFIN"
"271"	"ENSDARG00000007678"	"ttyh3b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-051120-105\")"	"ttyh3b"	"tweety family member 3b [Source:ZFIN;Acc:ZDB-GENE-051120-105]"	"ZFIN"
"272"	"ENSDARG00000089930"	"iqce"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090312-217\")"	"iqce"	"IQ motif containing E [Source:ZFIN;Acc:ZDB-GENE-090312-217]"	"ZFIN"
"273"	"ENSDARG00000078057"	"snx8b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-090313-317\")"	"snx8b"	"sorting nexin 8b [Source:ZFIN;Acc:ZDB-GENE-090313-317]"	"ZFIN"
"274"	"ENSDARG00000070448"	"grk4"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060929-1198\")"	"grk4"	"G protein-coupled receptor kinase 4 [Source:ZFIN;Acc:ZDB-GENE-060929-1198]"	"ZFIN"
"275"	"ENSDARG00000070449"	"tspan5b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041212-12\")"	"tspan5b"	"tetraspanin 5b [Source:ZFIN;Acc:ZDB-GENE-041212-12]"	"ZFIN"
"276"	"ENSDARG00000042988"	"slc24a2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060825-277\")"	"slc24a2"	"solute carrier family 24 member 2 [Source:ZFIN;Acc:ZDB-GENE-060825-277]"	"ZFIN"
"277"	"ENSDARG00000096506"	"si:dkey-58j15.11"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-100922-27\")"	"si:dkey-58j15.11"	"si:dkey-58j15.11 [Source:ZFIN;Acc:ZDB-GENE-100922-27]"	"ZFIN"
"278"	"ENSDARG00000070452"	"saraf"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060929-208\")"	"saraf"	"store-operated calcium entry-associated regulatory factor [Source:ZFIN;Acc:ZDB-GENE-060929-208]"	"ZFIN"
"279"	"ENSDARG00000070454"	"pla2g12a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070410-18\")"	"pla2g12a"	"phospholipase A2, group XIIA [Source:ZFIN;Acc:ZDB-GENE-070410-18]"	"ZFIN"
"281"	"ENSDARG00000038114"	"xpa"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1205\")"	"xpa"	"xeroderma pigmentosum, complementation group A [Source:ZFIN;Acc:ZDB-GENE-040426-1205]"	"ZFIN"
"282"	"ENSDARG00000008637"	"mttp"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040419-2\")"	"mttp"	"microsomal triglyceride transfer protein [Source:ZFIN;Acc:ZDB-GENE-040419-2]"	"ZFIN"
"283"	"ENSDARG00000091609"	"spink4"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-130821-1\")"	"spink4"	"serine peptidase inhibitor, Kazal type 4 [Source:ZFIN;Acc:ZDB-GENE-130821-1]"	"ZFIN"
"284"	"ENSDARG00000002634"	"b4galt1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050417-236\")"	"b4galt1"	"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1 [Source:ZFIN;Acc:ZDB-GENE-050417-236]"	"ZFIN"
"285"	"ENSDARG00000062467"	"stra6l"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070410-116\")"	"stra6l"	"STRA6-like [Source:ZFIN;Acc:ZDB-GENE-070410-116]"	"ZFIN"
"288"	"ENSDARG00000018997"	"cplx2l"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040718-160\")"	"cplx2l"	"complexin 2, like [Source:ZFIN;Acc:ZDB-GENE-040718-160]"	"ZFIN"
"289"	"ENSDARG00000099771"	"gne"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1848\")"	"gne"	"glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase [Source:ZFIN;Acc:ZDB-GENE-040426-1848]"	"ZFIN"
"290"	"ENSDARG00000045620"	"nansa"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-1500\")"	"nansa"	"N-acetylneuraminic acid synthase a [Source:ZFIN;Acc:ZDB-GENE-030131-1500]"	"ZFIN"
"291"	"ENSDARG00000045618"	"clta"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1986\")"	"clta"	"clathrin, light chain A [Source:ZFIN;Acc:ZDB-GENE-040426-1986]"	"ZFIN"
"292"	"ENSDARG00000057248"	"sclt1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-3278\")"	"sclt1"	"sodium channel and clathrin linker 1 [Source:ZFIN;Acc:ZDB-GENE-030131-3278]"	"ZFIN"
"293"	"ENSDARG00000017985"	"zgc:77739"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1862\")"	"zgc:77739"	"zgc:77739 [Source:ZFIN;Acc:ZDB-GENE-040426-1862]"	"ZFIN"
"298"	"ENSDARG00000102049"	"CU550719.1"	"=HYPERLINK(\"https://zfin.org/\")"	"CU550719.1"	""	"Clone-based (Ensembl) gene"
"300"	"ENSDARG00000099729"	"pcdh10a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-020731-1\")"	"pcdh10a"	"protocadherin 10a [Source:ZFIN;Acc:ZDB-GENE-020731-1]"	"ZFIN"
"301"	"ENSDARG00000105122"	"BX323031.2"	"=HYPERLINK(\"https://zfin.org/\")"	"BX323031.2"	""	"Clone-based (Ensembl) gene"
"302"	"ENSDARG00000098668"	"BX323031.1"	"=HYPERLINK(\"https://zfin.org/\")"	"BX323031.1"	""	"Clone-based (Ensembl) gene"
"305"	"ENSDARG00000102339"	"si:dkey-5n7.2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050420-254\")"	"si:dkey-5n7.2"	"si:dkey-5n7.2 [Source:ZFIN;Acc:ZDB-GENE-050420-254]"	"ZFIN"
"306"	"ENSDARG00000089805"	"pcdh18a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-000607-1\")"	"pcdh18a"	"protocadherin 18a [Source:ZFIN;Acc:ZDB-GENE-000607-1]"	"ZFIN"
"308"	"ENSDARG00000117541"	"FP236197.1"	"=HYPERLINK(\"https://zfin.org/\")"	"FP236197.1"	""	"Clone-based (Ensembl) gene"
"311"	"ENSDARG00000078525"	"noctb"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-110930-4\")"	"noctb"	"nocturnin b [Source:ZFIN;Acc:ZDB-GENE-110930-4]"	"ZFIN"
"312"	"ENSDARG00000079626"	"elf2b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-031215-1\")"	"elf2b"	"E74-like factor 2b (ets domain transcription factor) [Source:ZFIN;Acc:ZDB-GENE-031215-1]"	"ZFIN"
"313"	"ENSDARG00000057114"	"hpf1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-740\")"	"hpf1"	"histone PARylation factor 1 [Source:ZFIN;Acc:ZDB-GENE-030131-740]"	"ZFIN"
"314"	"ENSDARG00000009026"	"ank2a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-111215-3\")"	"ank2a"	"ankyrin 2a, neuronal [Source:ZFIN;Acc:ZDB-GENE-111215-3]"	"ZFIN"
"316"	"ENSDARG00000014273"	"camk2d2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040718-277\")"	"camk2d2"	"calcium/calmodulin-dependent protein kinase (CaM kinase) II delta 2 [Source:ZFIN;Acc:ZDB-GENE-040718-277]"	"ZFIN"
"317"	"ENSDARG00000104795"	"cxcl8a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-081104-317\")"	"cxcl8a"	"chemokine (C-X-C motif) ligand 8a [Source:ZFIN;Acc:ZDB-GENE-081104-317]"	"ZFIN"
"319"	"ENSDARG00000056797"	"ppp2r2ca"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-051120-168\")"	"ppp2r2ca"	"protein phosphatase 2, regulatory subunit B, gamma a [Source:ZFIN;Acc:ZDB-GENE-051120-168]"	"ZFIN"
"322"	"ENSDARG00000056742"	"crmp1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050720-1\")"	"crmp1"	"collapsin response mediator protein 1 [Source:ZFIN;Acc:ZDB-GENE-050720-1]"	"ZFIN"
"323"	"ENSDARG00000037576"	"BX530018.1"	"=HYPERLINK(\"https://zfin.org/\")"	"BX530018.1"	"D(1) dopamine receptor-like [Source:NCBI gene;Acc:567498]"	"Clone-based (Ensembl) gene"
"324"	"ENSDARG00000070431"	"fip1l1b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041010-138\")"	"fip1l1b"	"FIP1 like 1b (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-041010-138]"	"ZFIN"
"325"	"ENSDARG00000022690"	"chic2"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-778\")"	"chic2"	"cysteine-rich hydrophobic domain 2 [Source:ZFIN;Acc:ZDB-GENE-040426-778]"	"ZFIN"
"326"	"ENSDARG00000056677"	"BX530018.2"	"=HYPERLINK(\"https://zfin.org/\")"	"BX530018.2"	"OCIA domain-containing protein 1-like [Source:NCBI gene;Acc:553528]"	"Clone-based (Ensembl) gene"
"328"	"ENSDARG00000003398"	"rbpja"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-031117-1\")"	"rbpja"	"recombination signal binding protein for immunoglobulin kappa J region a [Source:ZFIN;Acc:ZDB-GENE-031117-1]"	"ZFIN"
"329"	"ENSDARG00000074867"	"stim2a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-130530-765\")"	"stim2a"	"tromal interaction molecule 2a [Source:ZFIN;Acc:ZDB-GENE-130530-765]"	"ZFIN"
"330"	"ENSDARG00000109597"	"si:dkey-194g4.1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-141215-40\")"	"si:dkey-194g4.1"	"si:dkey-194g4.1 [Source:ZFIN;Acc:ZDB-GENE-141215-40]"	"ZFIN"
"332"	"ENSDARG00000110922"	"CR847936.6"	"=HYPERLINK(\"https://zfin.org/\")"	"CR847936.6"	""	"Clone-based (Ensembl) gene"
"335"	"ENSDARG00000117482"	"CR847936.10"	"=HYPERLINK(\"https://zfin.org/\")"	"CR847936.10"	""	"Clone-based (Ensembl) gene"
"339"	"ENSDARG00000039063"	"CR847936.1"	"=HYPERLINK(\"https://zfin.org/\")"	"CR847936.1"	"piggyBac transposable element-derived protein 4-like [Source:NCBI gene;Acc:100330143]"	"Clone-based (Ensembl) gene"
"351"	"ENSDARG00000078898"	"pcdh7a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-120206-1\")"	"pcdh7a"	"protocadherin 7a [Source:ZFIN;Acc:ZDB-GENE-120206-1]"	"ZFIN"
"352"	"ENSDARG00000007534"	"itln1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060929-564\")"	"itln1"	"intelectin 1 [Source:ZFIN;Acc:ZDB-GENE-060929-564]"	"ZFIN"
"353"	"ENSDARG00000077804"	"hgsnat"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-140106-144\")"	"hgsnat"	"heparan-alpha-glucosaminide N-acetyltransferase [Source:ZFIN;Acc:ZDB-GENE-140106-144]"	"ZFIN"
"354"	"ENSDARG00000013881"	"pi4k2b"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070112-990\")"	"pi4k2b"	"phosphatidylinositol 4-kinase type 2 beta [Source:ZFIN;Acc:ZDB-GENE-070112-990]"	"ZFIN"
"355"	"ENSDARG00000079317"	"dlc1"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-130206-12\")"	"dlc1"	"DLC1 Rho GTPase activating protein [Source:ZFIN;Acc:ZDB-GENE-130206-12]"	"ZFIN"
"356"	"ENSDARG00000117428"	"CR848833.1"	"=HYPERLINK(\"https://zfin.org/\")"	"CR848833.1"	""	"Clone-based (Ensembl) gene"
"358"	"ENSDARG00000078854"	"tusc3"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050522-381\")"	"tusc3"	"tumor suppressor candidate 3 [Source:ZFIN;Acc:ZDB-GENE-050522-381]"	"ZFIN"
"360"	"ENSDARG00000007356"	"fgf20a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060110-1\")"	"fgf20a"	"fibroblast growth factor 20a [Source:ZFIN;Acc:ZDB-GENE-060110-1]"	"ZFIN"
"361"	"ENSDARG00000078599"	"micu3a"	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070713-1\")"	"micu3a"	"mitochondrial calcium uptake family, member 3a [Source:ZFIN;Acc:ZDB-GENE-070713-1]"	"ZFIN"
"364"	"ENSDARG00000091657"	"CT573256.1"	"=HYPERLINK(\"https://zfin.org/\")"	"CT573256.1"	"serine/threonine-protein kinase VRK1-like [Source:NCBI gene;Acc:794952]"	"Clone-based (Ensembl) gene"
